pert_id,smiles,Inh_index
['BRD-K97521363'],Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,0.153853312
['BRD-K95237249'],CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.209280095
['BRD-K80267133'],Nc1ccc(C(=O)O)c(O)c1,0.472662733
['BRD-K45086103'],N=C(N)NS(=O)(=O)c1ccc(N)cc1,0.020427795
['BRD-K91699951'],CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,-0.116216322
['BRD-K21520694'],CC(=O)NS(=O)(=O)c1ccc(N)cc1,0.002361866
['BRD-K86434416'],C#CCN(C)C(C)Cc1ccccc1,0.235826072
['BRD-K13032584'],CNNCc1ccc(C(=O)NC(C)C)cc1,0.436096257
['BRD-K34730807'],NC(Cc1ccc(O)c(O)c1)C(=O)O,-0.008759238
"['BRD-K24473282', 'BRD-K37264083']",CC(C)NCC(O)c1ccc(O)c(O)c1,1.163332104
['BRD-K79711234'],CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,0.063176006
"['BRD-A51182606', 'BRD-K08111712']",O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-0.000641301
"['BRD-K83636919', 'BRD-K92977333']",CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,-0.015892421
['BRD-K45071273'],CCCCNc1ccc(C(=O)OCCN(C)C)cc1,0.474927762
['BRD-K24616672'],CCN(CC)CCOC(=O)c1ccc(N)cc1,-0.017487194
['BRD-K81144366'],CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,-0.019129551
['BRD-K96319534'],CC(C)(N)Cc1ccccc1,1.218937479
['BRD-K43887077'],NCCc1ccc(O)c(O)c1,1.055653417
['BRD-A09062839'],CCC(C)(CN(C)C)OC(=O)c1ccccc1,0.03520901
['BRD-K52662033'],CCN(CC)CC(=O)Nc1c(C)cccc1C,-0.013639385
['BRD-K36248164'],CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,0.509779951
['BRD-A95602221'],CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,-0.008424094
['BRD-K45252063'],CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0.0850374
['BRD-A29260609'],CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0.018269268
['BRD-A66284731'],CCCCC(O)c1ccccc1,0.00046677
"['BRD-A69512159', 'BRD-K78712176']",CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,0.184374305
['BRD-K81128206'],CC[N+](C)(C)c1cccc(O)c1,0.141889076
['BRD-A07765530'],CNCC(O)c1ccc(O)c(O)c1,0.335835184
['BRD-A84174873'],NCC(CC(=O)O)c1ccc(Cl)cc1,-0.006323495
['BRD-A47494775'],CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,1.009535452
['BRD-A56012032'],O=C(O)CNC(=O)C(CS)Cc1ccccc1,0.155390087
['BRD-K62736196'],N=C(N)N/N=C/c1c(Cl)cccc1Cl,0.741515827
['BRD-K58626373'],CCNC(C)Cc1cccc(C(F)(F)F)c1,0.057057124
['BRD-K10706131'],CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1,0.522452835
['BRD-K11433652'],CC(=O)Oc1ccccc1C(=O)O,0.986418524
['BRD-K59574735'],CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,0.012216766
['BRD-K30020243'],COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.054193619
